"Gen 1","0",.0375818,.0164066,.0587571
"Gen 1","1",.1511165,.099948,.2022851
"Gen 1","2",.3448395,.2711968,.4184823
"Gen 1","3",.2589128,.1876661,.3301595
"Gen 1","4",.2075493,.1493369,.2657617
"Gen 2","0",.0422897,.023898,.0606813
"Gen 2","1",.1910791,.1505225,.2316357
"Gen 2","2",.3172275,.2793201,.3551348
"Gen 2","3",.2637059,.2153317,.3120802
"Gen 2","4",.1856978,.149695,.2217007
"SVF","0",.0646063,.0500654,.0791473
"SVF","1",.3771458,.3455581,.4087335
"SVF","2",.3493513,.330294,.3684087
"SVF","3",.1414438,.1220249,.1608627
"SVF","4",.0674527,.0536156,.0812897
