"14","0",.5460064,.4076633,.6843495
"14","1",.8099418,.7229093,.8969743
"14","2",.7341686,.6817367,.7866006
"14","3",.6571743,.5764186,.73793
"14","4",.3870524,.2282981,.5458067
"14","5",.2414074,.2180275,.2647873
"14","0",.7043576,.5638294,.8448858
"14","1",.8621351,.7935943,.9306759
"14","2",.8156648,.7754164,.8559132
"14","3",.7533947,.6835511,.8232383
"14","4",.4959424,.3254213,.6664636
"14","5",.4433208,.414592,.4720496
"14","0",.2558847,.1558075,.3559618
"14","1",.3553178,.2724105,.4382251
"14","2",.4225258,.3667425,.478309
"14","3",.4408223,.363921,.5177237
"14","4",.6256702,.4285864,.822754
"14","5",.5960461,.5653617,.6267305
"14","0",.4039814,.2783289,.529634
"14","1",.5596483,.4368657,.6824309
"14","2",.585058,.5353463,.6347697
"14","3",.5435231,.4777655,.6092807
"14","4",.6160558,.4600201,.7720916
"14","5",.4785458,.4546542,.5024374
