"SVF","Flickor","0",.0446318,.0309858,.0582779
"SVF","Flickor","1",.3388805,.3034192,.3743419
"SVF","Flickor","2",.3700208,.3459308,.3941108
"SVF","Flickor","3",.1658565,.1446831,.18703
"SVF","Flickor","4",.0806103,.0598004,.1014202
"SVF","Pojkar","0",.0842057,.0621153,.1062961
"SVF","Pojkar","1",.4146924,.3740228,.4553621
"SVF","Pojkar","2",.3290701,.2997957,.3583445
"SVF","Pojkar","3",.1174896,.0926536,.1423255
"SVF","Pojkar","4",.0545422,.0399342,.0691502
"Gen 2","Flickor","0",.0311301,-.0089323,.0711925
"Gen 2","Flickor","1",.1405749,.0883363,.1928134
"Gen 2","Flickor","2",.3119556,.2393408,.3845704
"Gen 2","Flickor","3",.2944801,.2300506,.3589096
"Gen 2","Flickor","4",.2218593,.1675496,.276169
"Gen 2","Pojkar","0",.0507092,.0207584,.08066
"Gen 2","Pojkar","1",.212582,.1562242,.2689397
"Gen 2","Pojkar","2",.3633274,.2996873,.4269674
"Gen 2","Pojkar","3",.2233394,.165129,.2815499
"Gen 2","Pojkar","4",.1500421,.1040839,.1960003
"Gen 1","Flickor","0",.0164535,-.0295236,.0624307
"Gen 1","Flickor","1",.0786141,.0232688,.1339594
"Gen 1","Flickor","2",.3011748,.156065,.4462846
"Gen 1","Flickor","3",.3160897,.1860441,.4461354
"Gen 1","Flickor","4",.2876678,.1278544,.4474813
"Gen 1","Pojkar","0",.0301182,-.0201941,.0804304
"Gen 1","Pojkar","1",.151752,.0584291,.2450748
"Gen 1","Pojkar","2",.4439896,.3277878,.5601915
"Gen 1","Pojkar","3",.2065419,.1330395,.2800443
"Gen 1","Pojkar","4",.1675983,.0868178,.2483789
