"SVF","14","0",.0226241,.0164278,.0288203
"SVF","14","1",.0086383,.0056789,.0115977
"SVF","14","2",.9193614,.9073144,.9314085
"SVF","14","3",.0493762,.0398397,.0589127
"SVF","15","0",.0282606,.0218137,.0347075
"SVF","15","1",.0120444,.0080012,.0160877
"SVF","15","2",.8890741,.8730507,.9050974
"SVF","15","3",.0706209,.0584083,.0828335
"SVF","16","0",.0148391,.009849,.0198292
"SVF","16","1",.0063278,.0033057,.0093499
"SVF","16","2",.8929465,.8532869,.9326062
"SVF","16","3",.0858865,.0451012,.1266718
"Gen 2","14","0",.1341582,.1061167,.1621997
"Gen 2","14","1",.2060369,.1754548,.236619
"Gen 2","14","2",.3266445,.2870652,.3662238
"Gen 2","14","3",.3331605,.2884383,.3778826
"Gen 2","15","0",.0708571,.0373526,.1043616
"Gen 2","15","1",.2169481,.1828668,.2510293
"Gen 2","15","2",.2970947,.2205281,.3736613
"Gen 2","15","3",.4151001,.3291649,.5010354
"Gen 2","16","0",.0530025,.0290553,.0769498
"Gen 2","16","1",.1904832,.1523472,.2286192
"Gen 2","16","2",.2363955,.1879429,.2848482
"Gen 2","16","3",.5201187,.4766287,.5636088
"Gen 1","14","0",.3536977,.2846311,.4227642
"Gen 1","14","1",.2085896,.1534072,.263772
"Gen 1","14","2",.2035626,.1577532,.249372
"Gen 1","14","3",.2341501,.1791462,.289154
"Gen 1","15","0",.172119,.1010661,.2431719
"Gen 1","15","1",.3751716,.2589898,.4913534
"Gen 1","15","2",.1673432,.1208743,.213812
"Gen 1","15","3",.2853663,.2378224,.3329101
"Gen 1","16","0",.0993812,.0409802,.1577821
"Gen 1","16","1",.3656314,.2232265,.5080363
"Gen 1","16","2",.1478401,.1073849,.1882953
"Gen 1","16","3",.3871473,.2856662,.4886284
