Flickor,SVF,Dålig,.061735258,.050858896,.072611615
Flickor,SVF,Ungefär lika,.33813572,.31136662,.36490479
Flickor,SVF,Bra,.37215906,.33972356,.4045946
Flickor,SVF,Mycket bra,.22796996,.20207322,.2538667
Flickor,Gen 2,Dålig,.042362627,.019765293,.064959958
Flickor,Gen 2,Ungefär lika,.28652421,.23205115,.34099725
Flickor,Gen 2,Bra,.34767154,.29164723,.40369588
Flickor,Gen 2,Mycket bra,.32344162,.25866508,.38821816
Flickor,Gen 1,Dålig,.028483393,.0077565131,.049210273
Flickor,Gen 1,Ungefär lika,.21632996,.15121838,.28144154
Flickor,Gen 1,Bra,.41178411,.32737482,.49619341
Flickor,Gen 1,Mycket bra,.34340253,.26398167,.42282343
Pojkar,SVF,Dålig,.062192857,.042469639,.081916071
Pojkar,SVF,Ungefär lika,.255245,.22946446,.28102553
Pojkar,SVF,Bra,.34531632,.31026539,.38036725
Pojkar,SVF,Mycket bra,.33724582,.30291283,.37157881
Pojkar,Gen 2,Dålig,.018237367,.0070677567,.029406978
Pojkar,Gen 2,Ungefär lika,.14443445,.094147652,.19472127
Pojkar,Gen 2,Bra,.38416219,.32039449,.44792992
Pojkar,Gen 2,Mycket bra,.45316598,.39116022,.51517177
Pojkar,Gen 1,Dålig,.021245562,.005882517,.036608607
Pojkar,Gen 1,Ungefär lika,.15706484,-.036098968,.35022864
Pojkar,Gen 1,Bra,.32629129,.11131149,.54127109
Pojkar,Gen 1,Mycket bra,.49539831,.4020687,.58872789
