14,0,.54600638,.40766326,.68434954
14,1,.80994183,.72290933,.89697433
14,2,.73416865,.68173671,.78660059
14,3,.65717429,.57641864,.73793
14,4,.38705236,.22829805,.54580671
14,5,.24140738,.21802749,.26478726
14,0,.70435756,.56382942,.84488577
14,1,.86213511,.7935943,.93067592
14,2,.81566477,.77541643,.85591316
14,3,.75339472,.68355107,.82323831
14,4,.49594241,.3254213,.66646355
14,5,.44332078,.414592,.47204956
14,0,.25588468,.15580754,.35596183
14,1,.3553178,.27241051,.43822506
14,2,.42252576,.36674249,.47830904
14,3,.44082233,.36392102,.51772368
14,4,.62567019,.42858642,.82275397
14,5,.59604615,.56536174,.6267305
14,0,.40398142,.2783289,.529634
14,1,.55964828,.43686569,.68243086
14,2,.58505797,.53534633,.63476968
14,3,.54352313,.47776553,.60928071
14,4,.61605585,.46002007,.77209163
14,5,.47854576,.45465416,.50243735
