Sverige,1,.00544817,.0019113894,.0089849504
Sverige,2,.025179362,.01871085,.031647872
Sverige,3,.086036317,.069321439,.1027512
Sverige,4,.88333613,.86426729,.90240502
Östeuropa,1,.031700056,-.009946405,.073346518
Östeuropa,2,.13242957,.064236149,.20062298
Östeuropa,3,.31865102,.21336263,.42393941
Östeuropa,4,.51721936,.45333871,.58109999
MENA+,1,.06256111,.037645843,.08747638
MENA+,2,.16426522,.092123814,.23640664
MENA+,3,.36939779,.27170691,.46708864
MENA+,4,.40377587,.31844947,.4891023
VSÖ Afrika,1,.071651854,.0068305568,.13647315
VSÖ Afrika,2,.17901929,.10115639,.25688219
VSÖ Afrika,3,.39442053,.28301671,.50582433
VSÖ Afrika,4,.35490832,.2423404,.46747625
Asien,1,.049776524,-.0032299811,.10278303
Asien,2,.10363944,.045641758,.16163711
Asien,3,.45567891,.33842692,.57293087
Asien,4,.39090514,.26930246,.5125078
