SVF,0,.05867409,.024658022,.092690155
SVF,1,.11836297,.078344412,.15838152
SVF,2,.21732955,.18334317,.25131592
SVF,3,.30790263,.12582837,.48997691
SVF,4,.29773074,.17549594,.41996557
Gen 2,0,.026043376,.0019944871,.050092265
Gen 2,1,.057547484,.035830166,.079264805
Gen 2,2,.16509673,.13235131,.19784217
Gen 2,3,.3405602,.15943223,.5216881
Gen 2,4,.41075221,.2200315,.60147291
Gen 1,0,.019679826,.0042405361,.035119116
Gen 1,1,.049227152,.022452457,.076001845
Gen 1,2,.20665398,.1077044,.30560356
Gen 1,3,.35627091,.26711905,.44542274
Gen 1,4,.36816815,.28609186,.45024443
