Sv,1,.052110851,.039845705,.064375997
Sv,2,.32771057,.30568501,.34973612
Sv,3,.62017858,.5954985,.6448586
ÖE,1,.040454671,.01591434,.064995006
ÖE,2,.27152291,.20779242,.33525345
ÖE,3,.68802238,.61964011,.7564047
ME,1,.070786983,.041704267,.099869698
ME,2,.3019067,.26460639,.33920702
ME,3,.62730634,.58266258,.6719501
AF,1,.06421195,.021360666,.10706323
AF,2,.29490066,.18858978,.40121156
AF,3,.64088738,.53585351,.74592125
AS,1,.030599255,-.03415411,.09535262
AS,2,.31031519,.19150516,.42912519
AS,3,.65908557,.53000158,.78816956
